"ACTIVITY";"AGE";"DERA_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"NUMBER_EMPL";"PCS_ESE";"QUANTILE";"SEX";"UNIT_MEASURE";"WKTIME";"TIME_PERIOD";"OBS_VALUE"
"R_S";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"3";"_T";"M";"XDC";"_T";2023;3031.59
"_T";"Y_LT30";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"462C";"_T";"_T";"FT";"_T";2023;4828.7
"_T";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"386E";"_T";"_T";"XDC";"_T";2023;3796.16
"OTQ";"Y50T59";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"3";"_T";"M";"XDC";"FT";2023;4052.81
"_T";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"352A";"_T";"M";"FT";"_T";2023;16549.71
"_T";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"386C";"_T";"_T";"XDC";"_T";2023;3553.67
"_T";"Y30T39";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"383C";"_T";"_T";"FT";"_T";2023;3966.11
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"374B";"_T";"M";"XDC";"_T";2023;5058
"_T";"Y50T59";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"386D";"_T";"_T";"XDC";"_T";2023;6519.56
"_T";"Y_GE60";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E50T99";"3";"_T";"F";"XDC";"FT";2023;5120.76
"_T";"Y50T59";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"373A";"_T";"_T";"XDC";"_T";2023;6001.52
"_T";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"386C";"_T";"F";"FT";"_T";2023;4975.67
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"387A";"_T";"M";"XDC";"_T";2023;4810.31
"R_S";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"M";"XDC";"PT";2023;3065.06
"G";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"4";"_T";"F";"XDC";"_T";2023;2308.2
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E250T499";"4";"_T";"F";"XDC";"FT";2023;2679.55
"F";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"_T";"XDC";"FT";2023;2728.9
"_T";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"4";"_T";"F";"XDC";"_T";2023;2095.23
"OTQ";"Y_LT30";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E20T49";"4";"_T";"M";"FT";"FT";2023;4503.97
"R_S";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E20T49";"4";"_T";"M";"FT";"FT";2023;13183.43
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"4";"_T";"M";"XDC";"_T";2023;2419.42
"M_N";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E500T999";"4";"_T";"M";"XDC";"_T";2023;2995.31
"G";"Y_GE60";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E5T9";"4";"_T";"_T";"XDC";"_T";2023;2835.24
"G";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"M";"XDC";"PT";2023;2574.7
"G";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E20T49";"3";"_T";"F";"FT";"FT";2023;24295.56
"M_N";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E50T99";"3";"_T";"M";"FT";"FT";2023;59811.88
"OTQ";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"_T";"XDC";"PT";2023;3785.93
"M_N";"Y_GE60";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E_LT5";"3";"_T";"F";"FT";"_T";2023;3942.7
"I";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E5T9";"3";"_T";"_T";"XDC";"_T";2023;2755.6
"OTQ";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"3";"_T";"_T";"XDC";"_T";2023;3287.05
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"3";"_T";"F";"XDC";"_T";2023;3917.44
"G";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"3";"_T";"M";"XDC";"_T";2023;3330.23
"K";"Y50T59";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E500T999";"3";"_T";"_T";"XDC";"_T";2023;6453.65
"C_OTH";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"M";"XDC";"FT";2023;4949.26
"_T";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"461B";"_T";"F";"FT";"_T";2023;75775.81
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"478A";"_T";"_T";"XDC";"_T";2023;2643.39
"_T";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"423B";"_T";"_T";"XDC";"_T";2023;2385.83
"_T";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"478C";"_T";"_T";"FT";"_T";2023;49440.16
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"482A";"_T";"F";"XDC";"_T";2023;2531.6
"_T";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E100T249";"4";"_T";"F";"XDC";"PT";2023;2501.09
"_T";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"482A";"_T";"_T";"XDC";"_T";2023;2982.46
"M_N";"Y_GE60";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"4";"_T";"_T";"XDC";"FT";2023;2685.15
